name,x,y,radius_px,n_pixels,real_cm,raw_median,raw_mean,raw_std,recon_cm,error_cm,abs_error_cm,error_percent,loo_recon_cm,loo_error_cm
Pie Derecho,338.8,297.16,5,79,23.0,7.433260869346876,7.431840381628545,0.04467570592134523,23.274253735740494,0.27425373574049416,0.27425373574049416,1.1924075466978008,23.40942698628679,0.409426986286789
Pie Izquierdo,240.96,299.27,5,77,23.5,7.219351363803694,7.219873237667085,0.03681970142149957,22.689070932340208,-0.8109290676597922,0.8109290676597922,-3.450761990041669,22.342781667350884,-1.1572183326491157
Mano Derecha,378.46,292.92,5,80,14.0,2.707091027156325,2.6879987480630128,0.13257793287149336,10.345079267424657,-3.6549207325753432,3.6549207325753432,-26.106576661252454,9.723981009985842,-4.276018990014158
Mano Izquierda,224.57,288.69,5,80,14.5,3.1365396773789196,3.2681381237685843,0.76995099460623,11.519903006162146,-2.9800969938378543,2.9800969938378543,-20.55239306095072,11.117519146224497,-3.382480853775503
Oreja Derecha,327.16,130.57,5,79,5.0,1.3853967458954182,1.2868823534387688,0.29400214594160246,6.729378493480995,1.7293784934809953,1.7293784934809953,34.587569869619905,7.402629461339638,2.4026294613396377
Oreja Izquierda,255.24,139.56,5,80,4.8,1.2709899003919676,0.9451613773747782,0.5424644325430633,6.416400730244671,1.6164007302446715,1.6164007302446715,33.675015213430655,7.095155284430797,2.2951552844307974
Ojo Derecho,310.24,160.18,5,78,13.3,4.003133346519441,4.020248771399161,0.09013389205264671,13.890605100156852,0.5906051001568517,0.5906051001568517,4.440639850803397,13.950545087536856,0.6505450875368552
Ojo Izquierdo,274.81,162.83,5,79,13.3,3.8793649082848014,3.9050147064730925,0.10993113776435945,13.552017240422863,0.25201724042286244,0.25201724042286244,1.8948664693448303,13.578110077024249,0.27811007702424817
Nariz,292.79,171.82,5,79,17.8,5.45965500394616,5.451043478776593,0.03659001677550389,17.87514718276264,0.07514718276263821,0.07514718276263821,0.42217518405976523,17.88598807982219,0.08598807982219014
Panza,298.61,269.13,5,79,16.0,5.4123464814515225,5.418505879908949,0.027465330545683144,17.745727343528102,1.7457273435281024,1.7457273435281024,10.91079589705064,17.991510059768437,1.9915100597684372
Camisa,299.66,225.23,5,80,14.5,4.650806856928838,4.642016546272911,0.11162040372199755,15.662416967736378,1.1624169677363785,1.1624169677363785,8.016668743009506,15.784431045404933,1.2844310454049328
